brand,product,product_type,ingredients,p_id,i_id,n_ingre,n_product,mp_count,mp_percent,mp_present
Dove,Body Wash Deep Moisture,1,PPG-2 Hydroxyethyl Cocamide,3357,624,3,5393,1941,0.359910996,1
Dove,Body Wash Deep Moisture,1,PEG-150 Pentaerythrityl Tetrastearate,3357,315,3,5393,1941,0.359910996,1
Dove,Body Wash Deep Moisture,1,Carbomer,3357,112,3,5393,1941,0.359910996,1
CeraVe,Salicylic Acid Cleanser for Rough & Bumpy Skin 237 ml,6,none,19846,272,0,5751,2040,0.354720918,0
Nivea,for Men Maximum Hydration 3-in-1 Body Wash,1,Polyquaternium-10,8675,530,2,5393,1941,0.359910996,1
Nivea,for Men Maximum Hydration 3-in-1 Body Wash,1,PEG-40 Hydrogenated Castor Oil,8675,370,2,5393,1941,0.359910996,1
Nivea,Men Duschgel Deep Active Clean 250 ml,1,Polyquaternium-10,14239,530,3,5393,1941,0.359910996,1
Nivea,Men Duschgel Deep Active Clean 250 ml,1,Poloxamer 124,14239,463,3,5393,1941,0.359910996,1
Nivea,Men Duschgel Deep Active Clean 250 ml,1,PEG-40 Hydrogenated Castor Oil,14239,370,3,5393,1941,0.359910996,1
Dove,Sensitive Skin Body Wash,1,PEG-40 Hydrogenated Castor Oil,20344,370,5,5393,1941,0.359910996,1
Dove,Sensitive Skin Body Wash,1,PEG-120 Methyl Glucose Dioleate,20344,304,5,5393,1941,0.359910996,1
Dove,Sensitive Skin Body Wash,1,PEG-120,20344,301,5,5393,1941,0.359910996,1
Dove,Sensitive Skin Body Wash,1,Ceteareth-20,20344,118,5,5393,1941,0.359910996,1
Dove,Sensitive Skin Body Wash,1,Ceteareth-12,20344,114,5,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,Trideceth-12,18578,723,7,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,Polyquaternium-10,18578,530,7,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,PEG-40 Hydrogenated Castor Oil,18578,370,7,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,Octylacrylamide/Acrylates/Butylaminoethyl Methacrylate Copolymer,18578,283,7,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,AMP-Acrylates/Allyl Methacrylate Copolymer,18578,69,7,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,Amodimethicone,18578,65,7,5393,1941,0.359910996,1
Method,Pure Peace Body Wash Travel Size 3.4 oz,1,Acrylates/Lauryl Methacrylate Copolymer,18578,26,7,5393,1941,0.359910996,1
CeraVe,Moisturizing Cream,1,Sodium Polyacrylate,15297,679,6,5393,1941,0.359910996,1
CeraVe,Moisturizing Cream,1,Sodium Laureth-12 Sulfate,15297,674,6,5393,1941,0.359910996,1
CeraVe,Moisturizing Cream,1,PEG-6 Caprylic/Capric Glycerides,15297,390,6,5393,1941,0.359910996,1
CeraVe,Moisturizing Cream,1,Laureth-2,15297,237,6,5393,1941,0.359910996,1
CeraVe,Moisturizing Cream,1,Laureth-12,15297,234,6,5393,1941,0.359910996,1
CeraVe,Moisturizing Cream,1,Bis-PEG/PPG-16/16 PEG/PPG-16/16 Dimethicone,15297,85,6,5393,1941,0.359910996,1
CeraVe,Daily Moisturizing Lotion,6,Phenyl Trimethicone,5898,459,5,5751,2040,0.354720918,1
CeraVe,Daily Moisturizing Lotion,6,Dimethicone Crosspolymer,5898,157,5,5751,2040,0.354720918,1
CeraVe,Daily Moisturizing Lotion,6,Dimethicone,5898,154,5,5751,2040,0.354720918,1
CeraVe,Daily Moisturizing Lotion,6,Cyclopentasiloxane,5898,145,5,5751,2040,0.354720918,1
CeraVe,Daily Moisturizing Lotion,6,Cyclohexasiloxane,5898,142,5,5751,2040,0.354720918,1
Bio-Oil,Skincare Oil 200 ml,1,none,21805,272,0,5393,1941,0.359910996,0
Cetaphil,Moisturizing Cream 16 oz,1,Carbomer,15299,112,3,5393,1941,0.359910996,1
Cetaphil,Moisturizing Cream 16 oz,1,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,15299,15,3,5393,1941,0.359910996,1
Aveeno,Skin Relief Body Lotion with Shea Butter,1,PEG-6,21662,388,2,5393,1941,0.359910996,1
Aveeno,Skin Relief Body Lotion with Shea Butter,1,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,21662,15,2,5393,1941,0.359910996,1
Bath & Body Works,Duschgel & Schaumbad Aromatherapy Stress Relief Eucalyptus & Spearmint 295 ml,1,Carbomer,7142,112,1,5393,1941,0.359910996,1
Bath & Body Works,Japanese Cherry Blossom Shower Gel 10 oz,1,PEG-4 Rapeseedamide,11918,367,1,5393,1941,0.359910996,1
Dial,"Body Wash, Mountain Fresh",1,Sodium Polyacrylate,3372,679,4,5393,1941,0.359910996,1
Dial,"Body Wash, Mountain Fresh",1,PEG-8 Beeswax,3372,412,4,5393,1941,0.359910996,1
Dial,"Body Wash, Mountain Fresh",1,Dimethicone,3372,154,4,5393,1941,0.359910996,1
Dial,"Body Wash, Mountain Fresh",1,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,3372,15,4,5393,1941,0.359910996,1
Axe,Apollo Body Wash 250 ml,1,Polymethylsilsesquioxane,1682,524,5,5393,1941,0.359910996,1
Axe,Apollo Body Wash 250 ml,1,PEG-10 Dimethicone,1682,288,5,5393,1941,0.359910996,1
Axe,Apollo Body Wash 250 ml,1,Dimethicone Crosspolymer,1682,157,5,5393,1941,0.359910996,1
Axe,Apollo Body Wash 250 ml,1,Cyclopentasiloxane,1682,145,5,5393,1941,0.359910996,1
Axe,Apollo Body Wash 250 ml,1,Cetyl PEG/PPG-10/1 Dimethicone,1682,138,5,5393,1941,0.359910996,1
Irish Spring,Deep Action Scrub Body Wash 532 ml,1,none,6058,272,0,5393,1941,0.359910996,0
Neutrogena,Body Clear Body Scrub,1,none,3144,272,0,5393,1941,0.359910996,0
Jergens,Ultra Healing Lotion,1,Polysorbate 20,25522,569,1,5393,1941,0.359910996,1